         93343836 function calls (90825421 primitive calls) in 46.056 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000   46.056   46.056 {built-in method builtins.exec}
        1    0.000    0.000   46.056   46.056 <string>:1(<module>)
        1    0.000    0.000   46.056   46.056 interactiveshell.py:2786(safe_execfile)
        1    0.000    0.000   46.055   46.055 py3compat.py:164(execfile)
        1    0.003    0.003   46.055   46.055 train_gym_trading.py:3(<module>)
        1    0.000    0.000   45.349   45.349 ppo.py:291(learn)
        1    0.001    0.001   45.349   45.349 on_policy_algorithm.py:228(learn)
       15    0.280    0.019   31.289    2.086 on_policy_algorithm.py:129(collect_rollouts)
    30720    0.019    0.000   23.509    0.001 base_vec_env.py:154(step)
    30720    0.121    0.000   23.483    0.001 dummy_vec_env.py:41(step_wait)
    30720    0.049    0.000   22.129    0.001 monitor.py:81(step)
    30721    0.032    0.000   22.081    0.001 time_limit.py:14(step)
    30721    0.152    0.000   22.049    0.001 base_environment.py:64(step)
    30721    0.045    0.000   21.588    0.001 base_environment.py:103(_get_obs)
    30721    0.224    0.000   17.009    0.001 match_engine.py:165(step)
       15    0.745    0.050   14.029    0.935 ppo.py:169(train)
    30894    0.552    0.000   11.017    0.000 match_engine.py:225(diff)
   857160    0.685    0.000   10.084    0.000 indexing.py:2211(__getitem__)
   857160    0.429    0.000    9.052    0.000 frame.py:3592(_get_value)
635010/50100    0.597    0.000    8.351    0.000 module.py:1124(_call_impl)
   857288    0.730    0.000    7.976    0.000 frame.py:3411(_ixs)
888076/888075    0.623    0.000    5.574    0.000 series.py:323(__init__)
    30720    0.132    0.000    5.495    0.000 policies.py:579(forward)
    30721    0.347    0.000    4.534    0.000 utils.py:46(from_series2obs)
    30721    0.093    0.000    4.379    0.000 match_engine.py:21(from_pair2series)
     4800    0.049    0.000    4.280    0.001 policies.py:632(evaluate_actions)
   857160    0.709    0.000    4.258    0.000 frame.py:3906(_box_col_values)
   575259    0.350    0.000    3.975    0.000 indexing.py:954(__getitem__)
    35520    0.110    0.000    3.914    0.000 torch_layers.py:224(forward)
     4800    0.033    0.000    3.649    0.001 optimizer.py:104(wrapper)
   106650    0.270    0.000    3.633    0.000 container.py:137(forward)
     4800    0.021    0.000    3.504    0.001 grad_mode.py:24(decorate_context)
     4800    0.113    0.000    3.432    0.001 adam.py:105(step)
     4800    0.012    0.000    3.222    0.001 adam.py:176(adam)
   575259    0.761    0.000    3.207    0.000 indexing.py:1487(_getitem_axis)
     4800    1.196    0.000    3.197    0.001 adam.py:229(_single_tensor_adam)
    30952    0.052    0.000    2.483    0.000 base.py:6987(ensure_index)
    30788    0.132    0.000    2.400    0.000 base.py:672(_with_infer)
     4800    0.010    0.000    2.192    0.000 _tensor.py:340(backward)
     4800    0.018    0.000    2.182    0.000 __init__.py:85(backward)
    35520    0.095    0.000    2.165    0.000 policies.py:597(_get_action_dist_from_latent)
     4800    2.116    0.000    2.116    0.000 {method 'run_backward' of 'torch._C._EngineBase' objects}
   213255    0.241    0.000    1.852    0.000 linear.py:113(forward)
    35520    0.240    0.000    1.727    0.000 distributions.py:143(proba_distribution)
61512/30788    0.305    0.000    1.726    0.000 base.py:397(__new__)
    35520    0.044    0.000    1.668    0.000 distributions.py:155(log_prob)
   857160    1.083    0.000    1.664    0.000 managers.py:1016(iget)
     4800    0.151    0.000    1.575    0.000 clip_grad.py:9(clip_grad_norm_)
   142170    0.054    0.000    1.572    0.000 activation.py:353(forward)
   857450    0.973    0.000    1.555    0.000 generic.py:5517(__finalize__)
   142170    1.518    0.000    1.518    0.000 {built-in method torch.tanh}
   213255    1.507    0.000    1.507    0.000 {built-in method torch._C._nn.linear}
11633898/11633049    0.992    0.000    1.494    0.000 {built-in method builtins.isinstance}
    35520    0.761    0.000    1.451    0.000 normal.py:75(log_prob)
    35520    0.110    0.000    1.276    0.000 normal.py:48(__init__)
  1714320    0.680    0.000    1.105    0.000 base.py:5023(__getitem__)
   888302    0.818    0.000    1.038    0.000 generic.py:239(__init__)
    35565    0.076    0.000    1.023    0.000 policies.py:120(extract_features)
629131/123119    0.467    0.000    0.960    0.000 copy.py:128(deepcopy)
  1555403    0.317    0.000    0.917    0.000 series.py:687(_values)
    61647    0.180    0.000    0.879    0.000 construction.py:470(sanitize_array)
    92297    0.613    0.000    0.871    0.000 {pandas._libs.lib.maybe_convert_objects}
   575549    0.212    0.000    0.804    0.000 common.py:105(is_bool_indexer)
    35520    0.246    0.000    0.738    0.000 distribution.py:34(__init__)
   857160    0.232    0.000    0.725    0.000 series.py:1238(_set_as_cached)
   575290    0.223    0.000    0.702    0.000 indexing.py:1434(_validate_integer)
       65    0.000    0.000    0.691    0.011 _decorators.py:302(wrapper)
    30720    0.023    0.000    0.678    0.000 copy.py:200(_deepcopy_list)
    30720    0.281    0.000    0.666    0.000 buffers.py:696(add)
        1    0.000    0.000    0.660    0.660 data_pipeline.py:26(get_sample_order_book_data)
        1    0.000    0.000    0.644    0.644 readers.py:584(read_csv)
        1    0.008    0.008    0.644    0.644 readers.py:539(_read)
     4800    0.068    0.000    0.638    0.000 clip_grad.py:42(<listcomp>)
338915/277219    0.173    0.000    0.638    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   888271    0.530    0.000    0.638    0.000 generic.py:5577(__setattr__)
        1    0.000    0.000    0.634    0.634 readers.py:1245(read)
    62400    0.612    0.000    0.612    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
   187206    0.609    0.000    0.609    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
90146/30751    0.114    0.000    0.608    0.000 copy.py:226(_deepcopy_dict)
        1    0.000    0.000    0.606    0.606 c_parser_wrapper.py:215(read)
  1555403    0.500    0.000    0.600    0.000 managers.py:1848(internal_values)
    60098    0.410    0.000    0.591    0.000 match_engine.py:37(remove_replicate)
        1    0.550    0.550    0.561    0.561 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
     4950    0.028    0.000    0.554    0.000 buffers.py:736(get)
3537676/2622909    0.353    0.000    0.537    0.000 {built-in method builtins.len}
    61442    0.054    0.000    0.526    0.000 match_engine.py:156(update)
     4800    0.111    0.000    0.517    0.000 buffers.py:760(_get_samples)
    30768    0.122    0.000    0.490    0.000 match_engine.py:108(pairs_market_order_liquidating)
    30788    0.056    0.000    0.474    0.000 base.py:7106(_maybe_cast_data_without_dtype)
    67200    0.156    0.000    0.463    0.000 functional.py:1345(norm)
    35565    0.111    0.000    0.457    0.000 torch_layers.py:272(forward)
     4800    0.024    0.000    0.441    0.000 clip_grad.py:32(<listcomp>)
   124800    0.422    0.000    0.422    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
  2220396    0.298    0.000    0.415    0.000 generic.py:43(_check)
    30720    0.018    0.000    0.412    0.000 <__array_function__ internals>:177(clip)
    67275    0.016    0.000    0.393    0.000 module.py:1621(parameters)
    67275    0.020    0.000    0.376    0.000 module.py:1645(named_parameters)
    30720    0.020    0.000    0.375    0.000 fromnumeric.py:2083(clip)
106695/35565    0.133    0.000    0.375    0.000 preprocessing.py:85(preprocess_obs)
     4800    0.104    0.000    0.371    0.000 optimizer.py:212(zero_grad)
    30753    0.148    0.000    0.360    0.000 match_engine.py:10(from_series2pair)
    30720    0.010    0.000    0.360    0.000 distributions.py:70(get_actions)
    67275    0.092    0.000    0.357    0.000 module.py:1608(_named_members)
    30752    0.018    0.000    0.356    0.000 fromnumeric.py:51(_wrapfunc)
   575034    0.141    0.000    0.351    0.000 series.py:924(_ixs)
    30720    0.021    0.000    0.350    0.000 distributions.py:169(sample)
    35520    0.059    0.000    0.349    0.000 utils.py:11(broadcast_all)
    30721    0.032    0.000    0.348    0.000 cast.py:115(maybe_convert_platform)
  1714320    0.263    0.000    0.345    0.000 common.py:160(cast_scalar_indexer)
   782127    0.336    0.000    0.336    0.000 module.py:1194(__getattr__)
    30720    0.015    0.000    0.333    0.000 {method 'clip' of 'numpy.ndarray' objects}
    30720    0.138    0.000    0.329    0.000 normal.py:70(rsample)
    35520    0.177    0.000    0.320    0.000 distribution.py:255(_validate_sample)
    30720    0.045    0.000    0.318    0.000 _methods.py:125(_clip)
   575259    0.183    0.000    0.304    0.000 indexing.py:2481(check_deprecated_indexers)
   857160    0.216    0.000    0.302    0.000 indexing.py:2288(_convert_key)
    75840    0.042    0.000    0.276    0.000 _tensor.py:26(wrapped)
  1274293    0.275    0.000    0.275    0.000 {pandas._libs.lib.is_list_like}
   575519    0.193    0.000    0.264    0.000 generic.py:560(_get_axis)
    92303    0.074    0.000    0.258    0.000 numeric.py:289(full)
    33600    0.025    0.000    0.257    0.000 buffers.py:123(to_torch)
    30800    0.130    0.000    0.252    0.000 match_engine.py:84(_level_market_order_liquidating)
    67200    0.244    0.000    0.244    0.000 {built-in method torch.norm}
     4800    0.122    0.000    0.238    0.000 buffers.py:763(<dictcomp>)
   691182    0.191    0.000    0.237    0.000 _tensor.py:1071(grad)
    30721    0.020    0.000    0.223    0.000 dummy_vec_env.py:96(_obs_from_buf)
    30765    0.032    0.000    0.221    0.000 utils.py:437(obs_as_tensor)
   888302    0.220    0.000    0.220    0.000 flags.py:47(__init__)
    35520    0.215    0.000    0.215    0.000 constraints.py:319(check)
   575549    0.072    0.000    0.213    0.000 inference.py:184(is_array_like)
    33613    0.212    0.000    0.212    0.000 {built-in method torch.tensor}
    40320    0.042    0.000    0.207    0.000 distributions.py:100(sum_independent_dims)
    40320    0.090    0.000    0.206    0.000 functional.py:44(broadcast_tensors)
   399555    0.205    0.000    0.205    0.000 {built-in method numpy.array}
    30789    0.071    0.000    0.205    0.000 warnings.py:130(filterwarnings)
    62400    0.204    0.000    0.204    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
    30915    0.028    0.000    0.203    0.000 managers.py:1731(from_array)
  4004479    0.201    0.000    0.201    0.000 {pandas._libs.lib.is_integer}
   575357    0.071    0.000    0.192    0.000 utils.py:69(is_list_like_indexer)
    30721    0.123    0.000    0.191    0.000 base_environment.py:125(_get_each_running_reward)
   857450    0.190    0.000    0.190    0.000 flags.py:83(allows_duplicate_labels)
    61544    0.059    0.000    0.188    0.000 common.py:229(asarray_tuplesafe)
    61455    0.188    0.000    0.188    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
    30721    0.048    0.000    0.187    0.000 util.py:14(copy_obs_dict)
    71040    0.184    0.000    0.184    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
   888075    0.184    0.000    0.184    0.000 managers.py:1700(__init__)
    30765    0.035    0.000    0.182    0.000 utils.py:450(<dictcomp>)
   106560    0.181    0.000    0.181    0.000 {method 'all' of 'torch._C._TensorBase' objects}
137713/137712    0.064    0.000    0.180    0.000 {built-in method builtins.all}
       32    0.000    0.000    0.176    0.006 time_limit.py:25(reset)
       32    0.010    0.000    0.176    0.006 base_environment.py:145(reset)
   665730    0.175    0.000    0.175    0.000 {built-in method torch._C._get_tracing_state}
384159/96086    0.154    0.000    0.172    0.000 module.py:1775(named_modules)
   122882    0.046    0.000    0.172    0.000 <__array_function__ internals>:177(copy)
  2706365    0.171    0.000    0.171    0.000 {built-in method builtins.getattr}
       31    0.000    0.000    0.168    0.005 monitor.py:60(reset)
  3991601    0.167    0.000    0.167    0.000 {method 'append' of 'list' objects}
    30721    0.147    0.000    0.167    0.000 match_engine.py:22(namelist)
   857288    0.164    0.000    0.164    0.000 blocks.py:358(iget)
    71040    0.163    0.000    0.163    0.000 constraints.py:307(check)
   760228    0.120    0.000    0.162    0.000 base.py:884(__len__)
    40320    0.161    0.000    0.161    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
    75930    0.161    0.000    0.161    0.000 {method 'float' of 'torch._C._TensorBase' objects}
       15    0.160    0.011    0.160    0.011 buffers.py:363(compute_returns_and_advantage)
    30720    0.026    0.000    0.158    0.000 utils.py:43(_standard_normal)
    35565    0.152    0.000    0.152    0.000 {built-in method torch.cat}
    31043    0.041    0.000    0.152    0.000 blocks.py:2043(new_block)
    30916    0.013    0.000    0.151    0.000 config.py:255(__call__)
   124813    0.146    0.000    0.146    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
  1714900    0.142    0.000    0.142    0.000 generic.py:349(flags)
    61445    0.079    0.000    0.142    0.000 cast.py:1962(construct_1d_object_array_from_listlike)
    62400    0.142    0.000    0.142    0.000 {method 'addcmul_' of 'torch._C._TensorBase' objects}
    30788    0.031    0.000    0.138    0.000 base.py:554(_dtype_to_subclass)
   272580    0.109    0.000    0.138    0.000 copy.py:242(_keep_alive)
    30916    0.020    0.000    0.138    0.000 config.py:127(_get_option)
    30720    0.025    0.000    0.137    0.000 callbacks.py:102(update_locals)
     4800    0.023    0.000    0.137    0.000 functional.py:3252(mse_loss)
    92229    0.019    0.000    0.135    0.000 series.py:743(__len__)
   211115    0.134    0.000    0.135    0.000 {built-in method builtins.sorted}
    30721    0.033    0.000    0.133    0.000 util.py:22(<listcomp>)
     4800    0.009    0.000    0.130    0.000 distributions.py:166(entropy)
    61440    0.072    0.000    0.128    0.000 _methods.py:91(_clip_dep_is_scalar_nan)
    92365    0.040    0.000    0.125    0.000 base.py:7082(maybe_extract_name)
   857450    0.124    0.000    0.124    0.000 generic.py:328(attrs)
    40320    0.124    0.000    0.124    0.000 {built-in method torch.ones_like}
    61530    0.117    0.000    0.117    0.000 {built-in method torch.as_tensor}
    19200    0.016    0.000    0.115    0.000 _ops.py:138(__call__)
    30720    0.114    0.000    0.114    0.000 _methods.py:106(_clip_dep_invoke_with_casting)
   857160    0.114    0.000    0.114    0.000 indexing.py:576(iat)
    92336    0.050    0.000    0.112    0.000 <__array_function__ internals>:177(copyto)
   575420    0.080    0.000    0.109    0.000 common.py:346(apply_if_callable)
    30765    0.109    0.000    0.109    0.000 {method 'update' of 'dict' objects}
    35520    0.106    0.000    0.106    0.000 {method 'exp' of 'torch._C._TensorBase' objects}
   153978    0.105    0.000    0.105    0.000 {built-in method numpy.empty}
   155574    0.055    0.000    0.101    0.000 common.py:1587(_is_dtype_type)
     9615    0.100    0.000    0.100    0.000 {method 'mean' of 'torch._C._TensorBase' objects}
   219951    0.100    0.000    0.100    0.000 {method 'to' of 'torch._C._TensorBase' objects}
   888042    0.099    0.000    0.099    0.000 managers.py:1792(_block)
   857225    0.097    0.000    0.098    0.000 managers.py:156(blknos)
     9600    0.026    0.000    0.096    0.000 profiler.py:445(__enter__)
    14400    0.095    0.000    0.095    0.000 {built-in method torch.mean}
    30926    0.033    0.000    0.093    0.000 construction.py:698(_try_cast)
   857225    0.093    0.000    0.093    0.000 managers.py:172(blklocs)
    92229    0.034    0.000    0.091    0.000 base.py:45(__len__)
    61673    0.034    0.000    0.088    0.000 common.py:1240(is_float_dtype)
    80808    0.066    0.000    0.088    0.000 grad_mode.py:226(__init__)
   132499    0.028    0.000    0.087    0.000 abc.py:117(__instancecheck__)
    61648    0.017    0.000    0.086    0.000 construction.py:379(extract_array)
     4800    0.061    0.000    0.086    0.000 normal.py:91(entropy)
    40404    0.041    0.000    0.086    0.000 grad_mode.py:131(__enter__)
    30916    0.035    0.000    0.085    0.000 config.py:109(_get_single_key)
    40404    0.035    0.000    0.084    0.000 grad_mode.py:135(__exit__)
  1714320    0.083    0.000    0.083    0.000 {pandas._libs.lib.is_float}
    35520    0.082    0.000    0.082    0.000 {method 'log' of 'torch._C._TensorBase' objects}
   857450    0.082    0.000    0.082    0.000 flags.py:51(allows_duplicate_labels)
    75930    0.081    0.000    0.081    0.000 {method 'flatten' of 'torch._C._TensorBase' objects}
    30916    0.017    0.000    0.081    0.000 series.py:542(_set_axis)
    30720    0.049    0.000    0.080    0.000 base_class.py:449(_update_info_buffer)
   122882    0.023    0.000    0.080    0.000 function_base.py:846(copy)
    71130    0.027    0.000    0.080    0.000 flatten.py:44(forward)
    40320    0.080    0.000    0.080    0.000 {built-in method torch.broadcast_tensors}
   106650    0.056    0.000    0.079    0.000 container.py:129(__iter__)
  1332988    0.077    0.000    0.077    0.000 {built-in method builtins.id}
    40404    0.072    0.000    0.077    0.000 grad_mode.py:126(__init__)
   575292    0.074    0.000    0.074    0.000 indexing.py:130(iloc)
    30754    0.041    0.000    0.072    0.000 base.py:744(__iter__)
    30981    0.026    0.000    0.072    0.000 series.py:640(name)
     4800    0.072    0.000    0.072    0.000 {built-in method torch._C._nn.mse_loss}
  1327228    0.072    0.000    0.072    0.000 {method 'get' of 'dict' objects}
   575681    0.071    0.000    0.071    0.000 generic.py:546(_get_axis_number)
   187325    0.041    0.000    0.071    0.000 _tensor.py:731(__hash__)
    81630    0.069    0.000    0.069    0.000 {method 'item' of 'torch._C._TensorBase' objects}
     9600    0.024    0.000    0.069    0.000 profiler.py:449(__exit__)
     4800    0.069    0.000    0.069    0.000 {method 'std' of 'torch._C._TensorBase' objects}
    30926    0.027    0.000    0.065    0.000 frame.py:821(shape)
    30788    0.009    0.000    0.065    0.000 re.py:250(compile)
   950559    0.064    0.000    0.064    0.000 {built-in method torch._C._has_torch_function_unary}
    30818    0.016    0.000    0.064    0.000 base.py:2603(_is_all_dates)
    30732    0.064    0.000    0.064    0.000 {built-in method torch.empty}
    71194    0.042    0.000    0.063    0.000 preprocessing.py:27(is_image_space)
    30722    0.020    0.000    0.063    0.000 common.py:287(maybe_iterable_to_list)
     9600    0.062    0.000    0.062    0.000 {built-in method torch._ops.profiler._record_function_enter}
    30789    0.031    0.000    0.061    0.000 warnings.py:181(_add_filter)
    30726    0.061    0.000    0.061    0.000 {method 'normal_' of 'torch._C._TensorBase' objects}
   132499    0.060    0.000    0.060    0.000 {built-in method _abc._abc_instancecheck}
   123087    0.059    0.000    0.059    0.000 {method 'astype' of 'numpy.ndarray' objects}
   411336    0.059    0.000    0.059    0.000 {method 'index' of 'list' objects}
   123024    0.037    0.000    0.059    0.000 common.py:1483(is_ea_or_datetimelike_dtype)
       32    0.000    0.000    0.059    0.002 base_environment.py:186(_set_init_reward)
    30724    0.026    0.000    0.058    0.000 inference.py:262(is_dict_like)
    61440    0.021    0.000    0.056    0.000 <__array_function__ internals>:177(ndim)
    30788    0.033    0.000    0.056    0.000 re.py:289(_compile)
    96975    0.055    0.000    0.055    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
     4800    0.054    0.000    0.054    0.000 {built-in method torch.stack}
   151617    0.054    0.000    0.054    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
   153664    0.054    0.000    0.054    0.000 {method 'copy' of 'numpy.ndarray' objects}
   107520    0.036    0.000    0.054    0.000 _VF.py:25(__getattr__)
   151762    0.053    0.000    0.053    0.000 {method 'size' of 'torch._C._TensorBase' objects}
    49965    0.053    0.000    0.053    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     9600    0.050    0.000    0.050    0.000 {built-in method torch.clamp}
   106560    0.029    0.000    0.049    0.000 utils.py:27(<genexpr>)
     9600    0.011    0.000    0.048    0.000 profiler.py:436(__init__)
    30917    0.033    0.000    0.048    0.000 base.py:654(_simple_new)
    61647    0.028    0.000    0.048    0.000 construction.py:630(_sanitize_ndim)
   154289    0.025    0.000    0.048    0.000 {method 'add' of 'set' objects}
    62387    0.048    0.000    0.048    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
      169    0.000    0.000    0.047    0.000 <__array_function__ internals>:177(concatenate)
    30788    0.044    0.000    0.046    0.000 warnings.py:458(__enter__)
    30981    0.014    0.000    0.046    0.000 common.py:1721(validate_all_hashable)
    96975    0.046    0.000    0.046    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
        1    0.003    0.003    0.045    0.045 c_parser_wrapper.py:344(_concatenate_chunks)
    30721    0.043    0.000    0.043    0.000 dummy_vec_env.py:89(_save_obs)
    30721    0.012    0.000    0.042    0.000 <__array_function__ internals>:177(squeeze)
    30721    0.019    0.000    0.042    0.000 match_engine.py:171(<lambda>)
     4800    0.020    0.000    0.041    0.000 __init__.py:30(_make_grads)
    30818    0.041    0.000    0.041    0.000 {built-in method pandas._libs.lib.is_datetime_array}
     4800    0.027    0.000    0.040    0.000 _tensor.py:641(__rdiv__)
     9615    0.039    0.000    0.039    0.000 {built-in method torch.exp}
       33    0.000    0.000    0.038    0.001 managers.py:634(reindex_indexer)
       64    0.002    0.000    0.038    0.001 match_engine.py:145(__init__)
    31107    0.021    0.000    0.038    0.000 blocks.py:1962(maybe_coerce_values)
     9600    0.037    0.000    0.037    0.000 {built-in method torch.zeros}
   606306    0.037    0.000    0.037    0.000 {pandas._libs.lib.is_iterator}
     9600    0.037    0.000    0.037    0.000 {built-in method torch._ops.profiler._record_function_exit}
    31050    0.014    0.000    0.037    0.000 common.py:161(is_object_dtype)
    30817    0.015    0.000    0.037    0.000 base.py:315(shape)
    31043    0.021    0.000    0.037    0.000 blocks.py:2057(check_ndim)
    61551    0.037    0.000    0.037    0.000 {built-in method builtins.sum}
    92619    0.032    0.000    0.036    0.000 construction.py:438(ensure_wrapped_if_datetimelike)
    30788    0.014    0.000    0.036    0.000 common.py:786(is_unsigned_integer_dtype)
   575194    0.036    0.000    0.036    0.000 {pandas._libs.lib.item_from_zerodim}
   123347    0.026    0.000    0.035    0.000 inference.py:321(is_hashable)
    30982    0.018    0.000    0.035    0.000 series.py:590(name)
      160    0.001    0.000    0.035    0.000 managers.py:253(apply)
    31108    0.028    0.000    0.035    0.000 blocks.py:1991(get_block_type)
    61513    0.026    0.000    0.034    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
   104288    0.034    0.000    0.034    0.000 {method 'remove' of 'list' objects}
    30788    0.014    0.000    0.033    0.000 common.py:732(is_signed_integer_dtype)
   464418    0.033    0.000    0.033    0.000 {built-in method builtins.issubclass}
   123969    0.033    0.000    0.033    0.000 {built-in method numpy.asarray}
    30916    0.025    0.000    0.033    0.000 config.py:589(_get_root)
    30720    0.031    0.000    0.032    0.000 distribution.py:241(_extended_shape)
       32    0.000    0.000    0.031    0.001 frame.py:4806(drop)
       32    0.000    0.000    0.031    0.001 generic.py:4238(drop)
    91254    0.026    0.000    0.031    0.000 module.py:1666(<lambda>)
       32    0.000    0.000    0.031    0.001 generic.py:4274(_drop_axis)
     4800    0.031    0.000    0.031    0.000 {built-in method torch.min}
    61440    0.023    0.000    0.031    0.000 _methods.py:101(_clip_dep_is_byte_swapped)
      161    0.000    0.000    0.031    0.000 indexing.py:1456(_getitem_tuple)
    30788    0.028    0.000    0.030    0.000 warnings.py:477(__exit__)
   142080    0.029    0.000    0.029    0.000 overrides.py:1697(is_tensor_like)
    30923    0.010    0.000    0.029    0.000 common.py:552(require_length_match)
     4800    0.029    0.000    0.029    0.000 {built-in method torch.abs}
   575582    0.029    0.000    0.029    0.000 {built-in method builtins.callable}
    71040    0.013    0.000    0.029    0.000 constraints.py:142(is_dependent)
    61445    0.029    0.000    0.029    0.000 {built-in method builtins.min}
   106560    0.019    0.000    0.029    0.000 utils.py:31(<genexpr>)
      226    0.000    0.000    0.028    0.000 frame.py:587(__init__)
        1    0.000    0.000    0.027    0.027 construction.py:425(dict_to_mgr)
   251274    0.026    0.000    0.026    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.025    0.025 construction.py:102(arrays_to_mgr)
        1    0.000    0.000    0.025    0.025 managers.py:1937(create_block_manager_from_column_arrays)
        1    0.000    0.000    0.025    0.025 managers.py:2008(_form_blocks)
        1    0.025    0.025    0.025    0.025 managers.py:2060(_stack_arrays)
    30916    0.010    0.000    0.024    0.000 config.py:642(_warn_if_deprecated)
    30853    0.017    0.000    0.024    0.000 construction.py:805(is_empty_data)
    30720    0.018    0.000    0.024    0.000 callbacks.py:75(on_step)
    97950    0.023    0.000    0.023    0.000 {built-in method math.sqrt}
    30721    0.023    0.000    0.023    0.000 match_engine.py:171(<listcomp>)
     4800    0.023    0.000    0.023    0.000 {built-in method torch.log}
   356551    0.022    0.000    0.022    0.000 copy.py:182(_deepcopy_atomic)
       33    0.001    0.000    0.022    0.001 managers.py:713(_slice_take_blocks_ax0)
    92172    0.015    0.000    0.022    0.000 inference.py:288(<genexpr>)
    30789    0.017    0.000    0.022    0.000 types.py:171(__get__)
    61647    0.017    0.000    0.022    0.000 construction.py:667(_sanitize_str_dtypes)
    92723    0.015    0.000    0.021    0.000 common.py:147(<lambda>)
   280239    0.021    0.000    0.021    0.000 {method 'items' of 'collections.OrderedDict' objects}
    30732    0.021    0.000    0.021    0.000 {built-in method builtins.locals}
    30820    0.006    0.000    0.021    0.000 base.py:2624(_is_multi)
    61832    0.021    0.000    0.021    0.000 config.py:603(_get_deprecated_option)
       33    0.001    0.000    0.020    0.001 blocks.py:1116(take_nd)
    61962    0.012    0.000    0.020    0.000 common.py:1740(<genexpr>)
       99    0.000    0.000    0.020    0.000 take.py:57(take_nd)
       99    0.000    0.000    0.020    0.000 take.py:120(_take_nd_ndarray)
        1    0.000    0.000    0.020    0.020 ppo.py:68(__init__)
    30788    0.019    0.000    0.019    0.000 warnings.py:437(__init__)
       15    0.000    0.000    0.019    0.001 logger.py:475(dump)
       33    0.019    0.001    0.019    0.001 {pandas._libs.algos.take_2d_axis0_int64_int64}
    30721    0.019    0.000    0.019    0.000 base_environment.py:109(_get_set_done)
        1    0.000    0.000    0.019    0.019 ppo.py:158(_setup_model)
        1    0.000    0.000    0.019    0.019 on_policy_algorithm.py:105(_setup_model)
       15    0.002    0.000    0.019    0.001 logger.py:149(write)
    30855    0.012    0.000    0.019    0.000 common.py:1747(pandas_dtype)
       65    0.000    0.000    0.019    0.000 indexing.py:1464(_get_list_axis)
        1    0.000    0.000    0.018    0.018 policies.py:782(__init__)
        1    0.000    0.000    0.018    0.018 policies.py:413(__init__)
    35565    0.014    0.000    0.018    0.000 container.py:367(items)
    30721    0.011    0.000    0.018    0.000 fromnumeric.py:1478(squeeze)
    30721    0.017    0.000    0.017    0.000 match_engine.py:243(check_positive)
    30916    0.017    0.000    0.017    0.000 generic.py:5561(__getattr__)
   121212    0.017    0.000    0.017    0.000 {built-in method torch.is_grad_enabled}
        1    0.000    0.000    0.017    0.017 policies.py:535(_build)
    62400    0.017    0.000    0.017    0.000 {method 'conj' of 'torch._C._TensorBase' objects}
       33    0.000    0.000    0.017    0.001 indexing.py:815(_getitem_tuple_same_dim)
    62387    0.017    0.000    0.017    0.000 {method 'requires_grad_' of 'torch._C._TensorBase' objects}
   116160    0.016    0.000    0.016    0.000 {built-in method torch._C._has_torch_function}
       65    0.002    0.000    0.016    0.000 managers.py:1683(_consolidate_inplace)
       64    0.000    0.000    0.016    0.000 frame.py:8453(diff)
       32    0.000    0.000    0.016    0.000 frame.py:5638(reset_index)
    30721    0.014    0.000    0.016    0.000 util.py:25(dict_to_obs)
    40320    0.016    0.000    0.016    0.000 {built-in method math.log}
       64    0.000    0.000    0.015    0.000 managers.py:354(diff)
        1    0.000    0.000    0.015    0.015 generic.py:3708(_take_with_is_copy)
        1    0.000    0.000    0.015    0.015 generic.py:3609(take)
        1    0.000    0.000    0.015    0.015 managers.py:875(take)
       64    0.000    0.000    0.015    0.000 blocks.py:1154(diff)
        1    0.001    0.001    0.015    0.015 env_checker.py:230(check_env)
   166325    0.014    0.000    0.014    0.000 {method 'items' of 'dict' objects}
    92293    0.014    0.000    0.014    0.000 managers.py:222(items)
    71190    0.014    0.000    0.014    0.000 dict.py:106(__getitem__)
       64    0.013    0.000    0.014    0.000 algorithms.py:1551(diff)
    61647    0.012    0.000    0.014    0.000 construction.py:687(_maybe_repeat)
     4800    0.004    0.000    0.014    0.000 grad_mode.py:82(clone)
        1    0.000    0.000    0.014    0.014 env_checker.py:137(_check_returned_values)
