         3297113 function calls (3264112 primitive calls) in 2.553 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      178    0.003    0.000    8.289    0.047 __init__.py:1(<module>)
   1325/1    0.005    0.000    2.554    2.554 {built-in method builtins.exec}
        1    0.000    0.000    2.554    2.554 train_gym_trading.py:3(<module>)
   1451/4    0.006    0.000    2.554    0.639 <frozen importlib._bootstrap>:1002(_find_and_load)
   1446/4    0.005    0.000    2.554    0.639 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
   1396/3    0.004    0.000    2.554    0.851 <frozen importlib._bootstrap>:659(_load_unlocked)
   1277/3    0.002    0.000    2.554    0.851 <frozen importlib._bootstrap_external>:844(exec_module)
   1822/4    0.001    0.000    2.553    0.638 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
   670/45    0.001    0.000    2.025    0.045 {built-in method builtins.__import__}
 1526/217    0.001    0.000    1.995    0.009 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    1.772    1.772 a2c.py:1(<module>)
        1    0.000    0.000    1.117    1.117 on_policy_algorithm.py:1(<module>)
       15    0.000    0.000    1.107    0.074 utils.py:1(<module>)
        1    0.000    0.000    1.105    1.105 base_class.py:1(<module>)
        2    0.000    0.000    1.086    0.543 logger.py:1(<module>)
1396/1347    0.002    0.000    0.729    0.001 <frozen importlib._bootstrap>:558(module_from_spec)
       10    0.001    0.000    0.671    0.067 __init__.py:2(<module>)
  102/100    0.000    0.000    0.664    0.007 <frozen importlib._bootstrap_external>:1171(create_module)
  102/100    0.661    0.006    0.664    0.007 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.551    0.551 pyplot.py:4(<module>)
3405/3207    0.040    0.000    0.546    0.000 {built-in method builtins.__build_class__}
1426/1258    0.008    0.000    0.498    0.000 <frozen importlib._bootstrap>:901(_find_spec)
     1277    0.008    0.000    0.464    0.000 <frozen importlib._bootstrap_external>:916(get_code)
        6    0.000    0.000    0.458    0.076 __init__.py:3(<module>)
      101    0.001    0.000    0.402    0.004 artist.py:128(_update_set_signature_and_docstring)
      100    0.000    0.000    0.399    0.004 artist.py:104(__init_subclass__)
     14/9    0.000    0.000    0.361    0.040 __init__.py:109(import_module)
     15/9    0.000    0.000    0.361    0.040 <frozen importlib._bootstrap>:1018(_gcd_import)
        2    0.000    0.000    0.334    0.167 monitor.py:1(<module>)
        1    0.000    0.000    0.333    0.333 video_recorder.py:1(<module>)
1428/1258    0.001    0.000    0.333    0.000 __init__.py:89(find_spec)
      2/1    0.000    0.000    0.332    0.332 __init__.py:99(spec_for_distutils)
        1    0.000    0.000    0.315    0.315 space.py:1(<module>)
        1    0.000    0.000    0.315    0.315 seeding.py:1(<module>)
     1277    0.003    0.000    0.301    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
        1    0.000    0.000    0.292    0.292 figure.py:1(<module>)
        5    0.000    0.000    0.282    0.056 version.py:1(<module>)
      114    0.000    0.000    0.262    0.002 artist.py:1730(kwdoc)
    33099    0.012    0.000    0.223    0.000 inspect.py:607(getdoc)
        3    0.000    0.000    0.219    0.073 api.py:3(<module>)
     3243    0.018    0.000    0.216    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
        1    0.000    0.000    0.216    0.216 colorbar.py:1(<module>)
    32044    0.125    0.000    0.210    0.000 inspect.py:626(cleandoc)
     1360    0.202    0.000    0.202    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.202    0.101 __init__.py:3233(_call_aside)
        1    0.000    0.000    0.202    0.202 __init__.py:3259(_initialize_master_working_set)
      216    0.013    0.000    0.197    0.001 artist.py:1422(get_setters)
    27386    0.008    0.000    0.196    0.000 artist.py:1441(is_alias)
    16703    0.182    0.000    0.182    0.000 {built-in method posix.stat}
      114    0.003    0.000    0.181    0.002 artist.py:1491(pprint_setters)
     1420    0.001    0.000    0.172    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
1422/1421    0.004    0.000    0.171    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
    14191    0.003    0.000    0.163    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      216    0.000    0.000    0.152    0.001 artist.py:1327(__init__)
      216    0.007    0.000    0.151    0.001 artist.py:1347(get_aliases)
   102/71    0.000    0.000    0.151    0.002 <frozen importlib._bootstrap_external>:1179(exec_module)
   102/71    0.055    0.001    0.150    0.002 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.150    0.150 _subplots.py:1(<module>)
        1    0.000    0.000    0.138    0.138 _axes.py:1(<module>)
     4259    0.004    0.000    0.134    0.000 {built-in method builtins.sorted}
        4    0.000    0.000    0.133    0.033 functional.py:1(<module>)
     1277    0.002    0.000    0.125    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
     1277    0.122    0.000    0.122    0.000 {built-in method marshal.loads}
     9489    0.003    0.000    0.119    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       14    0.000    0.000    0.118    0.008 __init__.py:609(add_entry)
        1    0.000    0.000    0.114    0.114 contour.py:1(<module>)
      712    0.001    0.000    0.114    0.000 __init__.py:2065(find_on_path)
     8284    0.002    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
