,0,1,2,3,4,5,6,7,8,9
bid1,31161600,31161600,31161600,31161600,31161600,31161600,31161600,31169800,31169800,31169800
bid1_quantity,3,3,3,3,3,3,3,1,1,1
bid2,31160000,31160000,31160000,31160000,31160000,31160000,31160000,31161600,31161600,31161600
bid2_quantity,4,4,4,4,4,4,4,3,3,3
bid3,31152200,31152200,31152200,31152200,31155000,31155000,31155000,31160000,31160000,31160000
bid3_quantity,16,16,16,16,28,28,28,4,4,4
bid4,31151000,31151000,31151000,31151000,31152200,31152200,31152200,31155000,31155000,31155000
bid4_quantity,2,2,2,2,16,16,16,28,28,28
bid5,31150100,31150100,31150100,31150100,31151000,31151000,31151000,31152200,31152200,31152200
bid5_quantity,2,2,2,2,2,2,2,16,16,16
bid6,31150000,31150000,31150000,31150000,31150100,31150100,31150100,31151000,31151000,31151000
bid6_quantity,506,506,506,506,2,2,2,2,2,2
bid7,31140000,31140000,31140000,31140000,31150000,31150000,31150000,31150100,31150100,31150100
bid7_quantity,4,4,4,4,506,506,506,2,2,2
bid8,31130000,31130000,31130000,31130000,31140000,31140000,31140000,31150000,31150000,31150000
bid8_quantity,2,2,2,2,4,4,4,506,506,506
bid9,31120300,31120300,31120300,31120300,31130000,31130000,31130000,31140000,31140000,31140000
bid9_quantity,35,35,35,35,2,2,2,4,4,4
bid10,31120200,31120200,31120200,31120200,31120300,31120300,31120300,31130000,31130000,31130000
bid10_quantity,35,35,35,35,35,35,35,2,2,2
